participant_id,choice_id1,choice_id2,winner_id,choice1_text,choice2_text
gpt-5.1,1,48,48,How can we identify and distinguish between reliable and unreliable judges?,What are best approaches to developing CJs so that they yield reliable and valid scores when assessing individual differences? How to create optimal CJ designs that minimise the assessment length and complexity of CJ blocks but maximise reliability and construct validity? How to incorporate response time and other process data in CJ designs? How to balance desirability matching and latent attribute recovery?
gpt-5.1,1,49,1,How can we identify and distinguish between reliable and unreliable judges?,What are best algorithms for scoring CJs in operational settings?
gpt-5.1,1,50,1,How can we identify and distinguish between reliable and unreliable judges?,How to model socially desirable responding and faking in CJs statistically?
gpt-5.1,1,51,1,How can we identify and distinguish between reliable and unreliable judges?,"How to create CJ assessments that are well received by test takers? What are potential benefits of multimodal CJ assessments using audio, video, image stimuli?"
gpt-5.1,1,52,1,How can we identify and distinguish between reliable and unreliable judges?,What is the role of cognitive ability in responding to CJ assessments of personality and other non-cognitive traits?
gpt-5.1,1,53,53,How can we identify and distinguish between reliable and unreliable judges?,"Where there is a need for setting meaningful zero points or category thresholds for the latent measurement scale, what are good data collection and analysis practices for integrating scale calibration with comparative judgment?"
gpt-5.1,1,54,54,How can we identify and distinguish between reliable and unreliable judges?,"Where there is a desire to generate overall evaluations as well as multiple subcomponent evaluations that are meant to be constituative of that overall evaluation, what are the best data collection and analysis practices for simultaneously generating these, while maintaining internal consistency?"
gpt-5.1,1,55,55,How can we identify and distinguish between reliable and unreliable judges?,"What are the best strategies for structuring a data collection that exposes individual raters to repeated pairs and/or sets of pairs that can reveal intransitivity and instability, in order to assess the reliability of individual raters and distinguish variation within rater from variation across raters?"
gpt-5.1,1,56,56,How can we identify and distinguish between reliable and unreliable judges?,"Can CJ be used to evaluate the consistency in marking between groups, rather than consistency between judges being used as a reliability metric?"
gpt-5.1,1,57,1,How can we identify and distinguish between reliable and unreliable judges?,Could CJ be used as a professional development tool?
gpt-5.1,1,58,58,How can we identify and distinguish between reliable and unreliable judges?,What cognitive strategies do judges use when making pairwise comparisons?
gpt-5.1,1,59,1,How can we identify and distinguish between reliable and unreliable judges?,What impact does the length of stimuli have on judgements?
gpt-5.1,1,60,1,How can we identify and distinguish between reliable and unreliable judges?,"Does CJ become less effective with stimuli with multiple pages (i.e., not presented side-by-side)?"
gpt-5.1,1,61,61,How can we identify and distinguish between reliable and unreliable judges?,How can we improve how the uncertainty/validity/reliability of scaled rankings is interpreted by end-users?
gpt-5.1,1,62,62,How can we identify and distinguish between reliable and unreliable judges?,How can covariates be incorporated into comparative judgement models?
gpt-5.1,1,63,1,How can we identify and distinguish between reliable and unreliable judges?,How can we identify latent groups or clusters of items through comparative judgement data?
gpt-5.1,1,64,64,How can we identify and distinguish between reliable and unreliable judges?,How do comparative judgement methods scale to large numbers of items or sparse comparison designs?
gpt-5.1,1,65,65,How can we identify and distinguish between reliable and unreliable judges?,"Is there more information in CJ data than a single 1d scale? (Both theoretical questions about whether/how this is possible even in idealised circumstances, and practical questions about feasibility.)"
gpt-5.1,1,66,66,How can we identify and distinguish between reliable and unreliable judges?,"Can projects with strong theoretical, statistical and practical components push back on the idea that marking is a gold standard? Under what circumstances is marking/CJ better than the other in important educational/psychometric senses? What would a perfect such project look like and how close can we get to it in reality?"
gpt-5.1,1,67,67,How can we identify and distinguish between reliable and unreliable judges?,"What does crowdsourcing reveal about the behaviour of comparative judgement as the number of judges increases, particularly regarding convergence with expert-panel outcomes and the distinctive role of experts?"
gpt-5.1,1,68,1,How can we identify and distinguish between reliable and unreliable judges?,SSR vs SHR: What is the relationship between the two commonly used measures of reliability - scale separation reliability (SSR) and split-halves reliability (SHR)?
gpt-5.1,1,69,69,How can we identify and distinguish between reliable and unreliable judges?,"Sliders: Rather than asking judges to make a binary choice, can we get better (more valid and reliable) results by asking judges to use a slider to indicate strength of preference?"
gpt-5.1,1,70,70,How can we identify and distinguish between reliable and unreliable judges?,How can we relate Bradley-Terry scores to external data using a joint modelling approach?
gpt-5.1,1,71,71,How can we identify and distinguish between reliable and unreliable judges?,How can we assess the quality of a fitted model in a principled Bayesian framework?
gpt-5.1,1,72,72,How can we identify and distinguish between reliable and unreliable judges?,How can we develop scalable Bayesian methods for large data sets where typical methods (MCMC) are infeasible?
gpt-5.1,1,73,73,How can we identify and distinguish between reliable and unreliable judges?,"Under what sparsity, separation, and graph-connectivity conditions should we trust a full ranking, and when should we report ordered tiers instead?"
gpt-5.1,1,74,74,How can we identify and distinguish between reliable and unreliable judges?,"When does a one-dimensional ranking fail, and how should we model systematic intransitivity?"
gpt-5.1,1,75,75,How can we identify and distinguish between reliable and unreliable judges?,"What is the role of uncertainty in CJ decisions, beyond uncertainty reporting?"
gpt-5.1,1,76,1,How can we identify and distinguish between reliable and unreliable judges?,"Educationally, what are the advantages and disadvantages of using actual student work versus examples designed to include specific strengths/weaknesses?"
gpt-5.1,1,77,1,How can we identify and distinguish between reliable and unreliable judges?,"If we allow ties, to what extent do individual judges' ties line up with overall judgements (e.g. do some people use ties a lot more than others; do individuals' ties generally reflect very similar scores in the overall scaled rank order)?"
gpt-5.1,1,78,78,How can we identify and distinguish between reliable and unreliable judges?,"How different do quality criteria have to be to give genuinely different scaled rank orders? Do stimulii that are 'better' tend to be better across essentially all criteria, or is it really possible with real-world answers to have quality criteria that are more orthogonal?"
gpt-5.1,1,79,79,How can we identify and distinguish between reliable and unreliable judges?,Is CJ an equally fair and valid assessment method across neurodivergent and neurotypical populations (in terms of both judging and being assessed)?
gpt-5.1,1,80,80,How can we identify and distinguish between reliable and unreliable judges?,What are the most effective ways to maximise the educational value of the judging process within CJ?
gpt-5.1,1,81,81,How can we identify and distinguish between reliable and unreliable judges?,To what extent are comparative judgements an expression of stable latent preferences vs context-driven choices?
gpt-5.1,1,82,82,How can we identify and distinguish between reliable and unreliable judges?,What is the optimal way to do pair selection for CJ?
gpt-5.1,1,83,1,How can we identify and distinguish between reliable and unreliable judges?,How does the effectiveness of using CJ for assessment and learning vary by age?
gpt-5.1,1,84,84,How can we identify and distinguish between reliable and unreliable judges?,How can CJ generate meaningful actionable individual feedback for students?
gpt-5.1,1,85,85,How can we identify and distinguish between reliable and unreliable judges?,"How does cognitive load affect pairwise comparisons? Is there a threshold in the amount of information being processed beyond which comparison becomes harder than absolute judgement? If so, how can it be approximated?"
gpt-5.1,1,86,86,How can we identify and distinguish between reliable and unreliable judges?,"Are there any cultural constraints on the adoption of CJ as an educational assessment tool beyond the Anglo-Saxon context? What are they, and how could they be overcome?"
gpt-5.1,1,87,87,How can we identify and distinguish between reliable and unreliable judges?,What are the limits in terms of item length/complexity that assessors can cope with (perhaps based on cognitive load/working memory)? Are these the same for written vs. audio/video representations? How does it impact CJ scores and reliability?
gpt-5.1,1,88,88,How can we identify and distinguish between reliable and unreliable judges?,What's the best way of generalising from data on judgements made by a sample of judges to judgements made by a population of judges?
gpt-5.1,1,89,89,How can we identify and distinguish between reliable and unreliable judges?,In what ways can we quantify departures from Plackett-Luce likelihood functions?
gpt-5.1,1,90,1,How can we identify and distinguish between reliable and unreliable judges?,Can reified entities be used to quantify preferences in the red bus-blue bus problem?
gpt-5.1,1,91,91,How can we identify and distinguish between reliable and unreliable judges?,How may we reduce the dimensionality of the parameter space for large Bradley-Terry models?
gpt-5.1,1,92,1,How can we identify and distinguish between reliable and unreliable judges?,How can we characterise Bradley-Terry models that have multi-modal likelihood functions?
gpt-5.1,1,93,93,How can we identify and distinguish between reliable and unreliable judges?,"Can we ever know that people are making judgements on the logit scale, and if not, how can we ensure that we are specifying the correct scale?"
gpt-5.1,1,94,94,How can we identify and distinguish between reliable and unreliable judges?,"How can we assess and improve the external validity of comparative judgment tasks, i.e., the degree to which the CJ task elicits the preferences/beliefs that drive judges' behaviour/choices in other contexts?"
gpt-5.1,1,95,95,How can we identify and distinguish between reliable and unreliable judges?,What experimental design principles can produce a set of comparisons that is both informative (of the representations' scores) and representative (of the space of possibly paired representations)?
gpt-5.1,1,96,96,How can we identify and distinguish between reliable and unreliable judges?,"In what ways are statistical models of comparative judgment data, like the Bradley-Terry model, misspecified - i.e., do they fail to capture structure in CJ outcomes - and how does this affect the validity of the inferences drawn from these models?"
gpt-5.1,1,97,97,How can we identify and distinguish between reliable and unreliable judges?,What role should cognitive models play in the analysis of comparative judgment data?
gpt-5.1,1,98,98,How can we identify and distinguish between reliable and unreliable judges?,"What role should behavioural phenomena, like systematic violations of transitivity and IIA, play in the analysis of comparative judgment data? Should the goal of data analysis be to reveal the presence of such patterns in CJ data, or to provide conclusions that are robust to the presence of these patterns?"
gpt-5.1,1,99,99,How can we identify and distinguish between reliable and unreliable judges?,What falsifiable claims about reality are embodied in the set of CJ scores that a set of objects receives post-Bradley-Terry analysis? How can/should these claims be tested and falsified?
gpt-5.1,1,100,100,How can we identify and distinguish between reliable and unreliable judges?,"When CJ is used instead of marking (in educational assessment e.g. of essays), what is the equivalent of 'classification accuracy' (for example if you were to impose cut-scores on the CJ theta scale in order to give grades to the essays)?"
gpt-5.1,1,101,101,How can we identify and distinguish between reliable and unreliable judges?,"What is the 'unit of measurement' in CJ, and to what extent should we expect it to be invariant across CJ studies that make comparisons of the same construct? When simulating judgement data from a CJ study, what principles should we use to set the standard deviation (or other distributional parameters) of theta?"
gpt-5.1,1,102,1,How can we identify and distinguish between reliable and unreliable judges?,"If a theta value can be interpreted as a probability, and a probability can be interpreted as a degree of subjective (un)certainty, then do the standard errors accompanying theta (post Bradley-Terry analysis) quantify the certainty in our certainty - and how should we interpret this? Are there important practical differences in whether we take a Bayesian or frequentist view of this?"
gpt-5.1,1,103,1,How can we identify and distinguish between reliable and unreliable judges?,The logistic distribution used in the Bradley-Terry model is a difference between Gumbel distributions. Do Gumbel distributions have any psychological justification or empirical support in educational assessment?
gpt-5.1,1,104,104,How can we identify and distinguish between reliable and unreliable judges?,"Most CJ exercises sample a subset of the n(n-1)/2 possible paired comparisons among n objects such that each object is involved in the same or a similar number of comparisons (e.g. c=20). The resulting data is then analysed with a Bradley-Terry model. If instead we compared (n-20) of the objects with the SAME 20 objects we would create a data set where we could simply add up the number of wins and rank the objects on their score out of 20, without involving the Bradley Terry model at all. What are the theoretical and practical differences between these situations and which is preferable? Do the long scales with lots of decimal places created by a typical CJ analysis disguise the fact that you don't really have more information than you'd get from a 20-item test? How does Cronbach's Alpha from the 'fixed set' CJ design compare with the Scale Separation Reliability usually reported from the Bradley-Terry analysis, both in theory and in practice?"
gpt-5.1,1,105,105,How can we identify and distinguish between reliable and unreliable judges?,What is the best way to measure and communicate inter-rater reliability in CJ? How do the indices relate to traditional measures of inter-rater reliability?
gpt-5.1,1,106,1,How can we identify and distinguish between reliable and unreliable judges?,Can some of Thurstone's Law (case V) assumptions be empirically tested?
gpt-5.1,1,107,107,How can we identify and distinguish between reliable and unreliable judges?,Does Thurstone's Law (or the Bradley-Terry model) need extending to apply to complex assessment artefacts?
gpt-5.1,1,108,108,How can we identify and distinguish between reliable and unreliable judges?,"How should we evaluate the accuracy/quality of individual paired comparisons, given that the Bradley-Terry model 'expects' unlikely outcomes? Can accuracy be distinguished from quality in this context? How best to establish the link between speed of judgement and accuracy/quality?"
gpt-5.1,1,109,1,How can we identify and distinguish between reliable and unreliable judges?,To what extent can CJ reliably measure consensus among mathematicians when evaluating complex mathematical proofs?
gpt-5.1,1,110,110,How can we identify and distinguish between reliable and unreliable judges?,To what extent can we still draw meaningful insight from collected pairwise judgements when inter-rater reliability is low?
gpt-5.1,1,111,1,How can we identify and distinguish between reliable and unreliable judges?,"How do different statistical models impact research outcomes? e.g., when an independent samples t-test is conducted on a set of CJ parameter estimates, how much does the test statistic vary across different models."
gpt-5.1,1,112,112,How can we identify and distinguish between reliable and unreliable judges?,"How do we account for qualitative differences (wildly different objects, judges and criteria across studies and disciplines) in statistical models?"
gpt-5.1,1,113,113,How can we identify and distinguish between reliable and unreliable judges?,Can interpretable models meaningfully explain variation in image-based CJ decisions to human judges?
gpt-5.1,1,114,1,How can we identify and distinguish between reliable and unreliable judges?,How reliably can clinicians use comparative judgement to rank brain MRI images according to severity of abnormality?
gpt-5.1,2,3,3,What specifically does it mean to be a bad judge and how should this be managed?,How do we tell the difference between judges who are providing no information versus judges who have a different opinion to the rest of the group?
gpt-5.1,2,4,2,What specifically does it mean to be a bad judge and how should this be managed?,For currently-used diagnostic tools more generally: what are the weaknesses / blind-spots in current tools that need addressing?
gpt-5.1,2,5,5,What specifically does it mean to be a bad judge and how should this be managed?,What routine diagnostic workflow should accompany comparative judgement analyses to detect model misspecification? What evidence threshold should trigger a move from a one-dimensional BradleyTerry-type scale to a richer alternative?
gpt-5.1,2,6,6,What specifically does it mean to be a bad judge and how should this be managed?,"How should we evaluate goodness-of-fit for comparative judgement models, and what diagnostics are most informative for people using them?"
gpt-5.1,2,7,7,What specifically does it mean to be a bad judge and how should this be managed?,Should there be agreed standards about what is reported when a study has used a comparative judgement method?
gpt-5.1,2,8,2,What specifically does it mean to be a bad judge and how should this be managed?,How can two objects be determined to have significantly different parameter estimates?
gpt-5.1,2,9,9,What specifically does it mean to be a bad judge and how should this be managed?,How can relative ability scores from comparative judgement be linked to absolute measures or external standards?
gpt-5.1,2,10,10,What specifically does it mean to be a bad judge and how should this be managed?,"To what extent can comparative judgement outcomes generated by different panels of judges, who judge the same items against different properties, be validly synthesised into a single overall score?"
gpt-5.1,2,11,11,What specifically does it mean to be a bad judge and how should this be managed?,What is the most principled way to link or equate scales across separate comparative judgement exercises?
gpt-5.1,2,12,12,What specifically does it mean to be a bad judge and how should this be managed?,Topping up: Is there a principled way to integrate existing judgement data into further research (e.g. adding new items and a small number of new judgements to an existing dataset)?
gpt-5.1,2,13,2,What specifically does it mean to be a bad judge and how should this be managed?,"Does judge expertise significantly affect consistency, scale location, and feature sensitivity?"
gpt-5.1,2,14,2,What specifically does it mean to be a bad judge and how should this be managed?,Can we identify clusters of judges who appear to agree with each other more so than other judges?
gpt-5.1,2,15,15,What specifically does it mean to be a bad judge and how should this be managed?,How can we measure and account for heterogeneity among judges in comparative judgement?
gpt-5.1,2,16,16,What specifically does it mean to be a bad judge and how should this be managed?,"When overall inter-rater reliability is low but higher reliability is observed within subsets of judges, what latent factors explain this pattern in collected pairwise judgements? Additionally, can we statistically identify these subsets of agreement, rather than through manual inspection?"
gpt-5.1,2,17,2,What specifically does it mean to be a bad judge and how should this be managed?,Should judge diversity be accounted for when designing CJ studies?
gpt-5.1,2,18,2,What specifically does it mean to be a bad judge and how should this be managed?,"When judges are students, to what extent do those whose scores are lower also make judgements that align less with the overall scaled rank order produced by other students and/or by experts?"
gpt-5.1,2,19,19,What specifically does it mean to be a bad judge and how should this be managed?,What is the best way to allocate comparison pairs based on prior knowledge?
gpt-5.1,2,20,20,What specifically does it mean to be a bad judge and how should this be managed?,How should we determine the minimum number of pairwise comparisons needed for reliable scale construction?
gpt-5.1,2,21,2,What specifically does it mean to be a bad judge and how should this be managed?,"How does the mathematics change if we allow ties, and what are the choices around how we handle that?"
gpt-5.1,2,22,22,What specifically does it mean to be a bad judge and how should this be managed?,"Pre/post measures: In a pre-test/post-test design where CJ is used to score responses, is there a statistical rationale for putting all responses into one pool versus having separate pools for the pre- and post-test responses?"
gpt-5.1,2,23,23,What specifically does it mean to be a bad judge and how should this be managed?,What is the impact of multiple representations coming from the same participant in (for example) a pre-post experimental design? Can we demonstrate that the BT model can cope with it?
gpt-5.1,2,24,24,What specifically does it mean to be a bad judge and how should this be managed?,How can the near-unlimited capacity/throughput of AI be harnessed? What might LLM training/fine-tuning be able to offer? Will results be well-adapted to CJ or to specific subject material? How can this be done in a framework which allows understanding of how various flavours of AI compare to each other and to human/expert judgement?
gpt-5.1,2,25,25,What specifically does it mean to be a bad judge and how should this be managed?,How do assessors allocate their visual attention across the pairs of representations when judging? Are there particular features of representations that are more salient?
gpt-5.1,2,26,26,What specifically does it mean to be a bad judge and how should this be managed?,"Which visual features of brain images (such as lesion size, contrast intensity, symmetry, or location) most strongly influence clinicians' comparative judgements?"
gpt-5.1,2,27,27,What specifically does it mean to be a bad judge and how should this be managed?,"Are there systematic biases in CJ related to handwriting, layout, or linguistic expression?"
gpt-5.1,2,28,28,What specifically does it mean to be a bad judge and how should this be managed?,How do we best control for particular aspects of representations (e.g. length)? Can we factor these out of the CJ scores?
gpt-5.1,2,29,29,What specifically does it mean to be a bad judge and how should this be managed?,What systematic biases related to cultural norms can be detected CJ outcomes?
gpt-5.1,2,30,30,What specifically does it mean to be a bad judge and how should this be managed?,"Does making pairwise comparisons induce any type of cognitive bias in judges' decisions (such as anchoring bias or first-order bias)? If so, how does it impact session outcomes? How can these effects be mitigated?"
gpt-5.1,2,31,31,What specifically does it mean to be a bad judge and how should this be managed?,Reliability = consensus? Researchers sometimes use reliability measures (SSR/SHR) as an indicator of consensus between the judges about some construct. Is this a valid inference?
gpt-5.1,2,32,32,What specifically does it mean to be a bad judge and how should this be managed?,Humans are often better at pairwise comparison than absolute scoring  is this still true when AI is the assessor?
gpt-5.1,2,33,33,What specifically does it mean to be a bad judge and how should this be managed?,"Why do we always get fairly high reliabilities in comparative judgement sessions, regardless of the judges or items?"
gpt-5.1,2,34,34,What specifically does it mean to be a bad judge and how should this be managed?,Does CJ tend to inflate measures of consensus compared to absolute scale methods?
gpt-5.1,2,35,35,What specifically does it mean to be a bad judge and how should this be managed?,"Do judges learn anything while making CJ? If so, what and how?"
gpt-5.1,2,36,2,What specifically does it mean to be a bad judge and how should this be managed?,Is the first half of a judge's comparisons similar to their second half?
gpt-5.1,2,37,37,What specifically does it mean to be a bad judge and how should this be managed?,"What are the limits of using CJ effectively for judging a wide range of non-text work (e.g. video, audio, art)?"
gpt-5.1,2,38,2,What specifically does it mean to be a bad judge and how should this be managed?,"How does inter-rater reliability differ between image-based and text-only versus multimodal artefacts in comparative judgement, controlling for number of judges and comparisons?"
gpt-5.1,2,39,39,What specifically does it mean to be a bad judge and how should this be managed?,How does communicating multiple judging criteria to judges impact judgements made? Does this affect session outcomes?
gpt-5.1,2,40,2,What specifically does it mean to be a bad judge and how should this be managed?,What makes a 'good' prompt for CJ sessions?
gpt-5.1,2,41,41,What specifically does it mean to be a bad judge and how should this be managed?,Rating vs comparing: Does the method of pairwise comparisons give a misleading indication of participants' agreement?
gpt-5.1,2,42,42,What specifically does it mean to be a bad judge and how should this be managed?,What is the evidence (of multiple kinds?) that people are 'better' at comparative than absolute judgements?
gpt-5.1,2,43,43,What specifically does it mean to be a bad judge and how should this be managed?,"To what extent do comparative judgement outcomes remain stable across fully independent panels of judges, and how does this compare with stability estimated through split-halves reliability derived from a single judge cohort?"
gpt-5.1,2,44,44,What specifically does it mean to be a bad judge and how should this be managed?,How can we model changes in CJ scores over time?
gpt-5.1,2,45,2,What specifically does it mean to be a bad judge and how should this be managed?,"What potential wider applications of CJ should be a focus for research (e.g. peer review of funding applications, driver training, sentencing decisions, recruitment, resource prioritisation)?"
gpt-5.1,2,46,2,What specifically does it mean to be a bad judge and how should this be managed?,How do we get comparative judgement to be more accepted in a variety of disciplines?
gpt-5.1,2,47,47,What specifically does it mean to be a bad judge and how should this be managed?,"How to create assessments in comparative formats that minimize socially desirable responding and faking? How to best match stimuli on desirability in specific contexts (for example, in job hiring)?"
gpt-5.1,2,48,48,What specifically does it mean to be a bad judge and how should this be managed?,What are best approaches to developing CJs so that they yield reliable and valid scores when assessing individual differences? How to create optimal CJ designs that minimise the assessment length and complexity of CJ blocks but maximise reliability and construct validity? How to incorporate response time and other process data in CJ designs? How to balance desirability matching and latent attribute recovery?
gpt-5.1,2,49,2,What specifically does it mean to be a bad judge and how should this be managed?,What are best algorithms for scoring CJs in operational settings?
gpt-5.1,2,50,50,What specifically does it mean to be a bad judge and how should this be managed?,How to model socially desirable responding and faking in CJs statistically?
gpt-5.1,2,51,51,What specifically does it mean to be a bad judge and how should this be managed?,"How to create CJ assessments that are well received by test takers? What are potential benefits of multimodal CJ assessments using audio, video, image stimuli?"
gpt-5.1,2,52,52,What specifically does it mean to be a bad judge and how should this be managed?,What is the role of cognitive ability in responding to CJ assessments of personality and other non-cognitive traits?
gpt-5.1,2,53,53,What specifically does it mean to be a bad judge and how should this be managed?,"Where there is a need for setting meaningful zero points or category thresholds for the latent measurement scale, what are good data collection and analysis practices for integrating scale calibration with comparative judgment?"
